Fold,Model,Accuracy,Precision,Recall,F1,ROC-AUC
1,GARCH,0.9102,0.7742,0.6076,0.6809,0.8707
1,LSTM,0.9168,0.7079,0.8182,0.759,0.8961
2,GARCH,0.9122,0.6351,0.7344,0.6812,0.94
2,LSTM,0.894,0.5823,0.7188,0.6434,0.9181
3,GARCH,0.7505,0.8841,0.5281,0.6612,0.845
3,LSTM,0.7651,0.8095,0.6652,0.7303,0.8598
4,GARCH,0.7106,0.9831,0.5521,0.7071,0.8935
4,LSTM,0.7817,0.9404,0.6902,0.7961,0.8907
5,GARCH,0.8723,0.5833,0.1061,0.1795,0.7431
5,LSTM,0.7734,0.2198,0.3448,0.2685,0.6947
