date,sp500_return,vix_diff,t2y_diff,t10y_diff,fedfunds_diff,credit_diff,realized_vol,yield_spread_diff,regime
2005-02-02,0.0031730069431805674,-0.3699999999999992,0.029999999999999805,0.0,-0.10999999999999988,-0.010000000000000009,0.10116486748235404,-0.029999999999999805,0
2005-02-03,-0.002769526922576482,0.129999999999999,0.020000000000000018,0.02999999999999936,0.20000000000000018,-0.030000000000000027,0.09287597896187033,0.009999999999999343,0
2005-02-04,0.010982508461376383,-0.5799999999999983,-0.04999999999999982,-0.08999999999999986,0.019999999999999574,-0.010000000000000009,0.0991157660940965,-0.040000000000000036,0
2005-02-07,-0.0010895104518837684,0.5199999999999996,0.020000000000000018,-0.019999999999999574,-0.009999999999999787,-0.040000000000000036,0.09879751866761229,-0.03999999999999959,0
2005-02-08,0.0004825251131466146,-0.13000000000000078,0.020000000000000018,-0.020000000000000462,-0.020000000000000018,-0.020000000000000018,0.09853550601328978,-0.04000000000000048,0
2005-02-09,-0.008612209652503644,0.40000000000000036,-0.08999999999999986,-0.04999999999999982,0.020000000000000018,0.010000000000000009,0.1029785907920354,0.040000000000000036,0
2005-02-10,0.004202601413597407,-0.4900000000000002,0.04999999999999982,0.07000000000000028,0.009999999999999787,0.030000000000000027,0.10135813728719346,0.020000000000000462,0
2005-02-11,0.006901717852340283,-0.08000000000000007,0.04999999999999982,0.02999999999999936,-0.009999999999999787,-0.020000000000000018,0.10309302931291352,-0.020000000000000462,0
2005-02-14,0.0006966791908364911,0.08999999999999986,0.040000000000000036,-0.019999999999999574,0.009999999999999787,-0.020000000000000018,0.09731278927149076,-0.05999999999999961,0
2005-02-15,0.0032943504419993275,-0.25,-0.009999999999999787,0.019999999999999574,0.020000000000000018,0.010000000000000009,0.09606446455469353,0.02999999999999936,0
2005-02-16,0.00018178362840615137,-0.16999999999999993,0.040000000000000036,0.0600000000000005,-0.04999999999999982,-0.019999999999999796,0.09082710931490948,0.020000000000000462,0
2005-02-17,-0.007954950310606002,0.6699999999999999,-0.03000000000000025,0.03000000000000025,0.020000000000000018,0.019999999999999796,0.08875314663150541,0.0600000000000005,0
2005-02-18,0.0006993181932894998,-0.5899999999999999,0.07000000000000028,0.07999999999999918,0.009999999999999787,-0.019999999999999796,0.08326163565408892,0.009999999999998899,0
2005-02-22,-0.014612017289066692,1.9600000000000009,0.009999999999999787,0.020000000000000462,0.06000000000000005,0.019999999999999796,0.0963168702191303,0.010000000000000675,0
2005-02-23,0.005591687692464653,-0.75,0.0,-0.020000000000000462,-0.040000000000000036,0.0,0.09649807309230478,-0.020000000000000462,0
2005-02-24,0.007862859413791057,-0.8200000000000003,0.06000000000000005,0.020000000000000462,0.020000000000000018,-0.019999999999999796,0.09886382596087,-0.03999999999999959,0
2005-02-25,0.00926374094976623,-0.08000000000000007,0.020000000000000018,-0.020000000000000462,-0.009999999999999787,0.0,0.10201262075943776,-0.04000000000000048,0
2005-02-28,-0.00643488474928855,0.5899999999999999,0.04999999999999982,0.09000000000000075,-0.020000000000000018,-0.030000000000000027,0.10561700891681043,0.040000000000000924,0
2005-03-01,0.005642079415787649,-0.040000000000000924,0.0,0.019999999999999574,-0.1299999999999999,-0.010000000000000009,0.10571543050646624,0.019999999999999574,0
2005-03-02,-0.0002726720639580904,0.46000000000000085,-0.020000000000000018,0.0,0.08999999999999986,0.020000000000000018,0.10285562452662884,0.020000000000000018,0
2005-03-03,0.0003222408158265466,0.4299999999999997,0.020000000000000018,0.009999999999999787,0.029999999999999805,-0.010000000000000009,0.10074687500201296,-0.010000000000000231,0
2005-03-04,0.009578341659389977,-0.9900000000000002,-0.020000000000000018,-0.0699999999999994,-0.009999999999999787,-0.020000000000000018,0.10497397363999282,-0.04999999999999938,0
